,0
685,59.0
686,64.0
687,55.0
688,51.0
689,70.0
690,63.0
691,44.0
692,78.0
693,67.0
694,62.0
695,68.0
696,55.0
697,63.0
698,24184.0
699,63.0
700,42.0
701,275.0
702,1510.0
703,745.0
704,1783.0
705,55.0
706,64.0
707,176.0
708,83.0
709,73.0
710,43.0
711,53.0
712,69.0
713,39.0
714,46.0
715,19.0
716,52.0
717,48.0
718,64.0
719,51.0
720,52.0
721,39.0
722,43.0
723,44.0
724,56.0
725,54.0
726,53.0
727,54.0
728,35.0
729,60.0
730,37.0
731,62.0
732,69.0
733,52.0
734,68.0
735,59.0
736,54.0
737,64.0
738,56.0
739,55.0
740,51.0
741,47.0
742,55.0
743,45.0
744,46.0
745,59.0
746,54.0
747,42.0
748,36.0
749,59.0
750,48.0
751,37.0
752,45.0
753,47.0
754,47.0
755,54.0
756,40.0
757,53.0
758,48.0
759,40.0
760,35.0
761,53.0
762,37.0
763,40.0
764,43.0
765,37.0
766,49.0
767,40.0
768,38.0
769,56.0
770,27.0
771,31.0
772,41.0
773,38.0
774,40.0
775,38.0
776,46.0
777,37.0
778,50.0
779,49.0
780,59.0
781,40.0
782,46.0
783,51.0
784,39.0
785,62.0
786,35.0
787,42.0
788,49.0
789,44.0
790,44.0
791,39.0
792,51.0
793,31.0
794,45.0
795,45.0
796,47.0
797,35.0
798,45.0
799,45.0
800,36.0
801,35.0
802,47.0
803,36.0
804,56.0
805,50.0
806,48.0
807,35.0
808,42.0
809,37.0
810,48.0
811,36.0
812,53.0
813,48.0
814,28.0
815,33.0
816,40.0
817,39.0
818,38.0
819,47.0
820,48.0
821,42.0
822,34.0
823,60.0
824,32.0
825,49.0
826,38.0
827,40.0
828,54.0
829,52.0
830,49.0
831,39.0
832,51.0
833,46.0
834,46.0
835,44.0
836,40.0
837,40.0
838,49.0
839,55.0
840,36.0
841,27.0
842,37.0
843,47.0
844,52.0
845,39.0
846,39.0
847,49.0
848,36.0
849,37.0
850,44.0
851,34.0
852,54.0
853,44.0
854,57.0
855,4619.0
856,6870.0
857,6890.0
858,4251.0
859,4049.0
860,2604.0
861,1177.0
862,125.0
863,141.0
864,158.0
865,155.0
866,167.0
867,98.0
868,85.0
869,94.0
870,62.0
871,23.0
872,30.0
873,21.0
874,25.0
875,20.0
876,23.0
877,21.0
878,36.0
879,24.0
880,34.0
881,31.0
882,29.0
883,27.0
884,31.0
885,23.0
886,37.0
887,27.0
888,57447.0
889,23458.0
890,2328.0
891,2409.0
892,551.0
893,515.0
894,517.0
895,550.0
896,270.0
897,318.0
898,27.0
899,31.0
900,45.0
901,42.0
902,46.0
903,38.0
904,54.0
905,33.0
906,39.0
907,38.0
908,46.0
909,37.0
910,37.0
